geo,name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
fji,Fiji,,,,,88,60,82,90,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,91,94,97,99,99,99,99
fra,France,,,,,,,,,,27,24,86,86,87,87,97,97,97,97,97,97,97,98,98,98,97,96,95,95,95,96,96,96,96,96
fsm,"Micronesia, Fed. Sts.",47,56,65,73,82,82,82,80,78,79,77,75,73,70,68,65,74,59,79,73,73,70,72,66,68,65,61,46,44,59,64,68,56,54,67
gab,Gabon,,,,,,,,,,,,,,,,,,,,,,67,75,82,79,70,80,75,75,70,70,63,75,60,70
geo,Georgia,,,,,,,,,,,,,,,,,,,,,,67,94,92,96,91,87,92,91,93,94,88,85,85,88
gha,Ghana,,,,,,,,,,,,,,80,80,80,84,84,94,93,94,94,91,92,90,98,88,93,99,97,97,94,98,99,95
gin,Guinea,,,,,,,,,,,,,,,,,,,,,57,64,63,57,50,44,47,47,47,47,47,47,47,47,47
gmb,Gambia,,,78,,56,57,87,88,94,92,93,90,87,89,91,93,95,95,94,97,99,97,96,98,97,96,97,95,92,93,88,85,82,79,84
gnb,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,80,86,89,87,87,86,86,85,79,82,78,74,67,74,74
gnq,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,53,40,53,56,59,62,64,67,70,74
grc,Greece,,,10,15,2,2,12,12,50,69,88,,,,,,,,,,,,,,,,,,,,,,,,
gtm,Guatemala,,,,,,,,,,,,,,,,,87,89,85,95,92,94,88,96,96,74,70,83,91,85,88,90,80,81,83
guy,Guyana,,,,,,,,,,,,,85,91,90,91,93,93,94,93,98,95,93,97,98,98,95,97,97,95,99,99,98,98,98
hnd,Honduras,,,,,,,,,,,,93,95,94,91,93,97,94,93,92,97,97,97,98,99,99,98,95,90,91,88,80,77,78,73
hrv,Croatia,,,,,,,,,,,,,,79,95,95,96,96,96,96,96,97,96,96,96,95,94,93,92,94,94,93,92,92,91
hti,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,68,63,64,64,64,64,51,51,51,51,51
hun,Hungary,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
idn,Indonesia,,,,28,43,42,50,62,65,76,77,,,,,,,,,,,,,,4,30,84,84,85,85,85,77,67,91,83
ind,India,,,,,,,,,,,,,,,,,,,,,,,,,20,20,45,80,89,90,91,85,85,93,91
irl,Ireland,,,,,,,,,,,,85,84,83,86,89,90,91,92,93,93,94,95,95,95,96,95,95,95,94,94,94,93,93,93
irn,Iran,,,,,,62,59,84,93,94,95,,,,,,,,,,,,,,,,98,99,99,99,99,99,98,99,99
irq,Iraq,,,,,,40,57,22,65,3,52,,,,,,,,,,,,,36,68,70,68,71,81,86,84,74,78,93,91
isr,Israel,,,,92,92,92,93,96,97,97,96,,,,,,,,,,,,,,,,,,,,,,,,
ita,Italy,,,95,95,95,95,95,95,95,95,97,,,,,,,,,,,,,,,,,,,,,,,,
jam,Jamaica,,,,,,,,,,,,,,,35,98,99,97,91,91,90,94,91,96,93,92,91,99,93,98,96,96,90,98,98
jor,Jordan,,,,,,,54,85,90,91,92,,59,95,97,95,95,98,98,97,98,98,98,98,98,98,99,98,99,96,89,77,85,92,96
jpn,Japan,,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,96,99,99,99,98,95,99,99,98
kaz,Kazakhstan,,,,,,,,,,49,90,,,,,,,,,49,97,96,95,97,98,95,98,82,99,98,97,88,95,99,99
ken,Kenya,,,,,,,,,,,,,,84,73,73,76,80,81,88,88,90,96,94,87,92,89,88,81,91,93,93,95,94,93
kgz,Kyrgyz Republic,,,,,,,,,,,10,,,,,,,,,,,96,96,96,97,96,97,96,92,93,94,86,88,90,86
khm,Cambodia,,,,,,,,,,,,,,,,,,,,,,86,88,89,86,90,91,91,90,89,88,87,87,85,85
kir,Kiribati,,73,7,6,8,36,36,66,97,89,82,,,,,,,,,83,86,91,95,94,95,75,82,81,90,95,97,92,90,91,90
kna,St. Kitts and Nevis,,,,,,,,,,99,99,12,99,95,99,95,99,99,99,97,97,96,98,98,97,98,94,98,98,98,97,99,96,96,96
kor,South Korea,,,,,,,99,93,88,82,88,,,,,,,,,,,,,,,97,98,97,97,98,98,96,98,96,96
kwt,Kuwait,,,,38,91,93,99,99,98,99,95,98,99,99,99,98,99,99,99,99,99,98,99,98,99,95,99,99,99,91,92,93,94,96,99
lao,Lao,,,,,,,,,,,,,,,,,,,,,,74,76,77,83,83,83,83,84,85,80,79,75,80,84
lbn,Lebanon,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,
lbr,Liberia,,,,,,,,,,,,,,,,,,,,75,81,70,77,80,80,63,65,73,80,80,70,65,66,78,82
lby,Libya,,,,88,91,92,92,93,91,92,92,,,,,,,,56,98,98,98,98,98,96,94,97,97,96,73,73,73,73,73,73
lca,St. Lucia,,,,,,,,,,,,,,14,84,91,95,85,99,96,95,97,99,98,99,99,99,95,80,95,92,86,80,81,74
lka,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,96,96,98,99
lso,Lesotho,,,,,,,,,,,,,,,,,,,,,91,94,96,95,93,88,83,87,87,87,87,87,87,87,87
ltu,Lithuania,,,,,,,,,,73,96,2,4,5,10,35,61,94,95,96,98,95,92,93,93,93,93,94,94,92,92,91,90,90,90
lux,Luxembourg,,,,,,,,,49,58,67,,,,,,,,,,,,,,,,,,,,,,,,
lva,Latvia,,,,,,,,,,9,94,79,84,87,96,98,99,96,94,94,94,90,91,90,94,92,94,98,98,96,99,99,93,95,98
mar,Morocco,,,,,,,,,,,10,,,,,,,,91,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
mco,Monaco,,,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
mda,Moldova,,,,,,,19,81,87,93,94,,,,,,,,,,47,63,78,90,89,89,86,89,88,92,90,86,87,87,87
mdg,Madagascar,,,,,,,,,,,,,,,,,,,,52,77,71,73,68,70,68,62,68,65,74,70,68,57,57,65
mdv,Maldives,,,,,21,63,80,96,50,45,90,,,,,,,,,,,,,,58,99,99,99,99,99,98,99,96,99,99
mex,Mexico,,,,,,,,,,,,97,97,97,98,98,98,98,98,96,95,95,97,99,83,87,87,93,85,88,82,72,78,83,85
mhl,Marshall Islands,3,10,17,24,17,46,47,68,70,80,80,45,45,80,70,46,69,60,83,92,99,92,80,67,66,65,70,58,65,72,72,75,72,68,72
mkd,North Macedonia,,,,,,,,,,,,,,,,,,,,13,82,89,96,95,97,94,89,94,91,92,92,84,81,84,86
mli,Mali,,,,,,,,,,,,,,,,,1,16,44,74,73,73,66,65,64,66,71,76,77,77,77,70,77,77,77
mmr,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,75,88,89,90,89,91,90,84,37,71,76
mne,Montenegro,,,,,,,,,,,,,,,,,,90,89,93,87,90,90,94,94,91,89,89,87,86,85,84,83,80,81
mng,Mongolia,,,18,47,69,67,88,93,88,91,92,,,,,,28,56,78,96,97,96,99,99,98,99,99,99,99,99,98,96,95,95,96
moz,Mozambique,,,,,,,,,,,,,,,,,,,,,74,74,77,80,82,85,85,85,85,85,85,71,56,55,70
mrt,Mauritania,,,,,,,,,,,,,,,,,,,,,64,64,75,80,80,81,73,74,76,77,80,81,77,85,90
mus,Mauritius,,,,,,,,,90,90,85,,,,,,,96,96,99,99,99,98,98,98,97,97,96,96,97,97,93,92,95,96
mwi,Malawi,,,,,,,,,,,,,,64,84,89,93,99,87,91,93,93,97,96,89,91,88,84,88,92,95,94,93,86,91
mys,Malaysia,69,86,89,86,86,94,96,96,97,96,96,,,,,71,85,89,90,95,95,95,95,99,97,97,99,98,99,99,98,98,94,97,97
nam,Namibia,,,,,,,,,,,,,,,,,,,,,,83,82,84,89,88,92,85,88,89,87,93,94,84,83
ner,Niger,,,,,,,,,,,,,,,,,,,,,71,70,75,71,73,81,84,80,85,79,81,81,82,84,85
nga,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,10,27,43,42,53,55,61,66,62,62,62,62
nic,Nicaragua,,,,,,,,,,,80,83,87,85,86,79,86,88,93,97,98,98,98,98,98,98,98,98,98,98,98,92,87,92,89
npl,Nepal,,,,,,,,,,,,,,,,,,,,,,,92,90,92,92,91,87,90,91,93,84,91,90,94
